Company,Location,Date of Posting,Total Compensation,Base,Stock,Bonuses
Intuit,"Mountain View, CA",2022-09-16 00:00:00,180000,130000,50000,N/A
U.S. Bank,"San Francisco, CA",2022-09-26 00:00:00,180000,180000,N/A,N/A
Snap,"Palo Alto, CA",2022-09-09 00:00:00,180000,140000,40000,N/A
eBay,"San Jose, CA",2022-09-09 00:00:00,180000,145000,20000,15000
Google,"Mountain View, CA",2022-09-27 00:00:00,180000,160000,20000,N/A
Google,"Mountain View, CA",2022-09-27 00:00:00,180000,160000,20000,N/A
Facebook,"Menlo Park, CA",2022-09-07 00:00:00,180000,160000,20000,N/A
Turo,"San Francisco, CA",2022-09-25 00:00:00,180000,160000,20000,N/A
Cisco,"San Jose, CA",2022-10-03 00:00:00,179717,151000,16700,12100
Anyscale,"San Francisco, CA",2022-09-22 00:00:00,178500,150000,28500,N/A
Cisco,"Milpitas, CA",2022-09-26 00:00:00,178000,152000,16000,10000
WePay,"Palo Alto, CA",2022-09-27 00:00:00,178000,150500,N/A,27500
Nvidia,"Santa Clara, CA",2022-10-04 00:00:00,177500,150000,27500,N/A
Facebook,"Menlo Park, CA",2022-10-05 00:00:00,177500,150000,7500,20000
Apple,"Cupertino, CA",2022-09-17 00:00:00,177500,140000,26300,11300
Tesla,"Palo Alto, CA",2022-09-06 00:00:00,177500,135000,42500,N/A
SpaceX,"San Francisco, CA",2022-09-29 00:00:00,177250,123000,48000,6300
SpaceX,"Mountain View, CA",2022-09-30 00:00:00,177250,123000,48000,6300
Salesforce,"San Francisco, CA",2022-09-29 00:00:00,176800,138000,25000,13800
Google,"San Francisco, CA",2022-09-06 00:00:00,176200,135000,25000,16200
Walmart,"Sunnyvale, CA",2022-09-18 00:00:00,176000,145000,8000,23000
eBay,"San Jose, CA",2022-09-12 00:00:00,175075,137000,13800,24300
Rakuten,"San Mateo, CA",2022-09-20 00:00:00,175000,140000,15000,20000
Ladder,"Palo Alto, CA",2022-09-28 00:00:00,175000,130000,40000,5000
WePay,"Palo Alto, CA",2022-09-22 00:00:00,175000,147000,N/A,28000
Facebook,"Menlo Park, CA",2022-09-13 00:00:00,175000,125000,50000,N/A
Blend,"San Francisco, CA",2022-09-23 00:00:00,175000,130000,45000,N/A
Sumo Logic,"Redwood City, CA",2022-09-30 00:00:00,175000,150000,25000,N/A
Cisco,"San Jose, CA",2022-09-30 00:00:00,174600,132000,36000,6600
VMware,"Palo Alto, CA",2022-09-12 00:00:00,173700,113700,40000,20000
Uber,"San Francisco, CA",2022-09-13 00:00:00,173168,128000,25400,19800
Intuitive,"Sunnyvale, CA",2022-09-07 00:00:00,173000,137500,15500,20000
Apple,"Cupertino, CA",2022-09-13 00:00:00,172000,135000,37000,N/A
Amazon,"San Francisco, CA",2022-09-19 00:00:00,171000,138000,10000,23000
